"npTitleId","npTitleIdshort","name","region","category","psVr","neoEnable","ps5bc","date"
"CUSA10183_00","CUSA10183","SUPERHOT VR DEMO","UP","gd",2,1,"N/A","2020-10-31T20:07:46.0005185Z"
"CUSA10184_00","CUSA10184","SUPERHOT VR DEMO","UP","gd",2,1,"N/A","2020-10-31T20:07:46.0078038Z"
"CUSA10186_00","CUSA10186","Megaton Rainfall","UP","gd",1,1,"N/A","2020-10-31T20:07:46.0152584Z"
"CUSA10187_00","CUSA10187","Raiden V: Director's Cut Digital Art Book","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.0230272Z"
"CUSA10188_00","CUSA10188","Brawlhalla Demo","UP","gd",0,1,"N/A","2020-10-31T20:07:46.0299239Z"
"CUSA10190_00","CUSA10190","Gran Turismo®SPORT β Version","UP","gd",0,1,"N/A","2020-10-31T20:07:46.0369191Z"
"CUSA10192_00","CUSA10192","Gran Turismo®SPORT β Version","HP","gd",0,1,"N/A","2020-10-31T20:07:46.0437775Z"
"CUSA10193_00","CUSA10193","OCCULTIC;NINE サウンドトラック","JP","gd",0,0,"COMPATIBLE","2020-10-31T20:07:46.0506174Z"
"CUSA10194_00","CUSA10194","Gran Turismo™SPORT β Version","EP","gd",0,1,"N/A","2020-10-31T20:07:46.0568384Z"
"CUSA10195_00","CUSA10195","The Binding of Isaac: Afterbirth+","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.0640027Z"
"CUSA10196_00","CUSA10196","Rememoried","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.0710308Z"
"CUSA10199_00","CUSA10199","Megaton Rainfall Demo","EP","gd",1,1,"N/A","2020-10-31T20:07:46.0779262Z"
"CUSA10201_00","CUSA10201","Schacht","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.0846814Z"
"CUSA10203_00","CUSA10203","Haimrik","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.0916888Z"
"CUSA10204_00","CUSA10204","Nioh: Complete Edition","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.0986267Z"
"CUSA10205_00","CUSA10205","Jurassic World Evolution","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.1058303Z"
"CUSA10206_00","CUSA10206","ImmortalRedneck","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.1133495Z"
"CUSA10207_00","CUSA10207","배틀 가레가 Rev.2016","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.1204352Z"
"CUSA10208_00","CUSA10208","Jaunt VR","HP","gdc",2,1,"COMPATIBLE","2020-10-31T20:07:46.1273495Z"
"CUSA10209_00","CUSA10209","Dragon's Crown Pro","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.1331984Z"
"CUSA10210_00","CUSA10210","ブラウザ三国志","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.14018Z"
"CUSA10211_00","CUSA10211","Horizon Zero Dawn™: Complete Edition","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.1470235Z"
"CUSA10212_00","CUSA10212","Horizon Zero Dawn™: Complete Edition","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.154129Z"
"CUSA10213_00","CUSA10213","Horizon Zero Dawn™: Complete Edition","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:46.1614119Z"
